"performer","beat_1","beat_2","beat_3","beat_4","intensity_1","intensity_2","intensity_3","intensity_4","bar"
"CH",0.299538983361322,0.29032253883604,0.211981680302177,0.198156797500461,0,0.0941558441558444,-0.214285714285715,0.185064935064935,"1"
"CH",0.245713890816699,0.292765518214861,0.250942012790201,0.210578578178239,-0.0811688311688312,0.0779220779220781,-0.246753246753247,0.204545454545455,"2"
"CH",0.230851426787749,0.294237921363948,0.22753447495711,0.247376176891192,-0.0422077922077926,0.12012987012987,-0.246753246753247,0.068181818181818,"3"
"CH",0.259272643009118,0.236226005802306,0.242865546068698,0.261635805119878,-0.262987012987013,0.185064935064935,-0.035714285714286,0.0487012987012987,"4"
"CH",0.28256301703163,0.308677858880779,0.205190754257908,0.203568369829684,0.295454545454546,-0.191558441558442,-0.275974025974026,0.068181818181818,"5"
"CH",0.262683832675016,0.261337448907942,0.257137757370874,0.218840961046168,-0.0227272727272724,0.233766233766233,-0.11038961038961,-0.0746753246753246,"6"
"CH",0.244681057958952,0.234042425871414,0.28191477425445,0.239361741915183,0.11038961038961,0.172077922077922,-0.198051948051948,-0.0292207792207794,"7"
"CH",0.268880507422067,0.248467439527281,0.226702873731404,0.255949179319248,0.00649350649350659,-0.0129870129870127,0.00649350649350613,0.100649350649351,"8"
"CH",0.259050960332445,0.264506408415673,0.253926310782991,0.222516320468891,0.10064935064935,-0.0876623376623378,0.0779220779220781,-0.0422077922077921,"9"
"CH",0.237846734109532,0.277388810114197,0.236810426814477,0.247954028961795,0.0779220779220777,-0.142857142857143,0.0909090909090908,-0.0487012987012987,"10"
"CH",0.253596399561419,0.241483457256626,0.263436685925329,0.241483457256626,0.116883116883117,-0.103896103896104,0.0324675324675325,-0.0519480519480522,"11"
"CH",0.270718357956085,0.255406033251721,0.252880999157286,0.220994609634909,-0.0162337662337662,0.0324675324675325,-0.00974025974025965,-0.0194805194805193,"12"
"CH",0.255319191376195,0.234042425871414,0.244681057958952,0.265957324793438,0.0129870129870127,0.142857142857143,-0.116883116883117,0.0454545454545456,"13"
"CH",0.255824841748365,0.258967962468942,0.252773806809577,0.232433388973116,-0.110389610389611,0.0487012987012987,-0.0292207792207789,0.00649350649350659,"14"
"CH",0.289358156986175,0.23184125537859,0.224746659585584,0.25405392804965,0.0584415584415584,0.00974025974025965,-0.0649350649350649,-0.00974025974025965,"15"
"CH",0.246765625,0.269363407258065,0.247311995967742,0.236558971774194,0.0389610389610391,0.0227272727272724,0.035714285714286,-0.0227272727272728,"16"
"CH",0.253821458250432,0.251613238516773,0.244565175855099,0.250000127377696,0.0259740259740259,-0.0746753246753246,0.0389610389610391,-0.0324675324675325,"17"
"CH",0.267759733606557,0.229508196721311,0.258719774590164,0.244012295081967,0.159090909090909,-0.0909090909090908,-0.0454545454545452,-0.0259740259740263,"18"
