"performer","beat_1","beat_2","beat_3","intensity_1","intensity_2","intensity_3","bar"
"CH",0.352297657637787,0.30853378182329,0.339168560538923,0,0.192982456140351,-0.102756892230576,"1"
"CH",0.358574753101391,0.318485675170228,0.322939571728381,-0.00250626566416026,0.102756892230576,-0.025062656641604,"2"
"CH",0.330864444444444,0.33733037037037,0.331805185185185,-0.0476190476190478,0.172932330827068,-0.140350877192982,"3"
"CH",0.348038970588235,0.330882352941177,0.321078676470588,-0.0977443609022558,0.220551378446115,-0.025062656641604,"4"
"CH",0.322834645669291,0.32545905511811,0.351706299212598,-0.117794486215539,0.142857142857143,-0.0526315789473683,"5"
"CH",0.34938457847527,0.336444150098721,0.314171271426009,0.0350877192982454,-0.0902255639097743,0.107769423558897,"6"
"CH",0.326687511184535,0.335376311134767,0.337936177680698,0.0175438596491229,0.075187969924812,0.06265664160401,"7"
"CH",0.348894017470757,0.314496482924697,0.336609499604546,-0.18546365914787,0.142857142857143,-0.107769423558897,"8"
"CH",0.332201861826466,0.327696534164196,0.340101604009338,0.0275689223057643,-0.0175438596491225,-0.012531328320802,"9"
"CH",0.34352238125942,0.311881956747397,0.344595661993183,0.0651629072681703,-0.037593984962406,0.0576441102756892,"10"
"CH",0.392270707766489,0.307760978129843,0.299968314103668,-0.175438596491228,0.087719298245614,-0.0601503759398494,"11"
"CH",0.340942961985942,0.306223930498372,0.352833107515686,0.110275689223057,-0.0726817042606514,0.012531328320802,"12"
"CH",0.332349768779677,0.337135347574356,0.330514883645966,-0.0275689223057646,0.110275689223058,-0.110275689223058,"13"
"CH",0.291691289642067,0.321310305982123,0.38699840437581,0.0701754385964912,-0.137844611528822,-0.140350877192982,"14"
"CH",0.361314987652827,0.301818939298109,0.336866073049064,0.0401002506265663,0.00250626566416061,0.0601503759398494,"15"
"CH",0.335485569640268,0.323338034512016,0.341176395847716,0.0350877192982458,0.225563909774436,-0.12781954887218,"16"
"CH",0.342500335625084,0.339999834999959,0.317499829374957,-0.12280701754386,0.170426065162907,-0.213032581453634,"17"
"CH",0.36582493942651,0.323342070643346,0.310832989930144,0.075187969924812,0.233082706766917,-0.147869674185463,"18"
"CH",0.330523017734445,0.344656420693385,0.32482056157217,-0.0451127819548871,0.037593984962406,0,"19"
"CH",0.342272346105796,0.354673766089591,0.303053887804613,0.0676691729323305,-0.0225563909774434,-0.155388471177945,"20"
"CH",0.359310095519435,0.325273211015821,0.315416693464744,0.218045112781955,-0.0150375939849626,0.0100250626566417,"21"
"CH",0.332506286597376,0.327543261765131,0.339950451637493,-0.0726817042606518,0.165413533834587,-0.140350877192983,"22"
"CH",0.336780147058824,0.329886764705882,0.333333088235294,0.110275689223058,0.00751879699248113,-0.06265664160401,"23"
"CH",0.326087027410223,0.347825945179553,0.326087027410223,-0.0526315789473683,-0.0300751879699249,-0.0275689223057643,"24"
"CH",0.339805903006843,0.327669743849639,0.332524353143518,-0.0350877192982458,0.223057644110276,-0.145363408521304,"25"
"CH",0.317982236842105,0.366228289473684,0.315789473684211,0.0426065162907269,-0.130325814536341,-0.0802005012531326,"26"
"CH",0.328326250713788,0.341201789957466,0.330471959328747,0.145363408521303,-0.0977443609022558,-0.0401002506265663,"27"
"CH",0.282544301745302,0.315098830758166,0.402356867496532,0.050125313283208,-0.112781954887218,-0.06265664160401,"28"
"CH",0.356818116735508,0.315909007231367,0.327272876033125,-0.0300751879699249,0.213032581453634,-0.0802005012531329,"29"
"CH",0.33618836667596,0.353319209130282,0.310492424193758,0.147869674185464,0.0426065162907269,0.167919799498747,"30"
"CH",0.302290198814091,0.348796651552145,0.348913149633764,-0.135338345864661,0.0200501253132831,-0.0551378446115289,"31"
"CH",0.351776663143112,0.310221178274718,0.33800215858217,-0.0200501253132831,-0.087719298245614,0.135338345864662,"32"
"CH",0.339712760696833,0.343331421849622,0.316955817453545,-0.025062656641604,-0.0827067669172935,-0.0100250626566414,"33"
"CH",0.372320571929497,0.306345983375807,0.321333444694696,-0.0100250626566417,0.0827067669172932,0.102756892230577,"34"
"CH",0.301250966636617,0.359937024425465,0.338812008937917,-0.0350877192982458,0.087719298245614,-0.157894736842105,"35"
"CH",0.375084166892662,0.32438367652436,0.300532156582978,-0.160401002506266,0.200501253132832,0.132832080200502,"36"
"CH",0.319148868266198,0.331914822996846,0.348936308736956,0.0526315789473683,-0.00751879699248113,-0.275689223057644,"37"
"CH",0.432854093659097,0.2732145792278,0.293931327113103,-0.110275689223058,0.218045112781955,-0.270676691729323,"38"
"CH",0.290513455412318,0.382692527236221,0.326794017351461,0.273182957393484,0.100250626566416,-0.162907268170426,"39"
"CH",0.350017160225768,0.324176749620678,0.325806090153554,0.0476190476190478,-0.025062656641604,-0.0300751879699249,"40"
"CH",0.329845430453721,0.343424283531088,0.326730286015191,0.107769423558897,0.0601503759398498,-0.0451127819548871,"41"
"CH",0.330254119975002,0.341137255825748,0.32860862419925,-0.0676691729323309,0.0551378446115289,0.00501253132832087,"42"
"CH",0.324324324324324,0.349099324324324,0.326576351351351,0.0476190476190474,0.100250626566416,-0.0401002506265663,"43"
