"performer","beat_1","beat_2","beat_3","beat_4","beat_5","beat_6","intensity_1","intensity_2","intensity_3","intensity_4","intensity_5","intensity_6","bar","cluster.seqb","cluster.seqi"
"CH",0.155361303142517,0.153172681219405,0.166301786936934,0.172866339795698,0.161925856001281,0.190372032904165,0.0983606557377046,-0.154566744730679,0.0585480093676815,-0.194379391100702,0.192037470725995,-0.100702576112412,1,"2","1"
"CH",0.163506954021845,0.175355520990028,0.189573516991927,0.154028526987178,0.146919528986228,0.170615952022794,0.19672131147541,0.0725995316159249,-0.0960187353629975,-0.037470725995316,-0.00702576112412205,0.0117096018735363,2,"4","3"
"CH",0.16464911267576,0.166146933136336,0.160729501034019,0.16464911267576,0.162227321494595,0.181598018983531,0.149882903981265,-0.0444964871194381,-0.0866510538641683,-0.182669789227166,0.0913348946135831,-0.107728337236534,3,"8","1"
"CH",0.182519631115492,0.164524249112724,0.164524249112724,0.172236335340018,0.159013963503323,0.157181571815718,0.313817330210773,0.0304449648711943,-0.0538641686182669,-0.0843091334894612,-0.0257611241217801,-0.0655737704918032,4,"4","1"
"CH",0.147582442748092,0.16793893129771,0.179898473282443,0.161068702290076,0.175572519083969,0.16793893129771,0.199063231850117,0.0234192037470726,-0.0725995316159249,-0.189695550351288,0.22248243559719,-0.252927400468384,5,"4","1"
"CH",0.179419694237628,0.163588568027141,0.163588568027141,0.156711526801305,0.175445290002485,0.161246352904299,0.168618266978923,0.0936768149882904,0.00702576112412171,-0.0351288056206089,0.0515222482435598,-0.0679156908665107,6,"4","3"
"CH",0.148148148148148,0.175308888888889,0.162962962962963,0.162962962962963,0.185185185185185,0.165431851851852,0.138173302107728,0.0491803278688523,0.00936768149882917,-0.159250585480094,-0.0140515222482438,-0.121779859484777,7,"6","1"
"CH",0.161661835748792,0.161661835748792,0.151558207824193,0.19449995263806,0.149032490290802,0.181585677749361,0.255269320843091,-0.0772833723653395,-0.0234192037470726,-0.126463700234192,0.152224824355972,-0.147540983606557,8,"1","1"
"CH",0.159263978191946,0.151766014385973,0.151766014385973,0.171038130127072,0.173446873583969,0.192718989325068,0.131147540983607,-0.0843091334894615,0.0725995316159253,-0.206088992974239,0.266978922716628,-0.147540983606557,9,"6","1"
"CH",0.153906832738408,0.145235603932813,0.179919218535906,0.150600658503546,0.20923712825862,0.161100558030706,0.112412177985948,0.0444964871194381,0.00936768149882884,-0.103044496487119,-0.060889929742389,0.124121779859485,10,"6","3"
"CH",0.179737899342241,0.145029079085955,0.150329533898705,0.166214906838619,0.16030895574789,0.19837962508659,-0.0421545667447306,-0.121779859484778,0.0655737704918035,-0.180327868852459,0.283372365339578,-0.166276346604215,11,"2","1"
"CH",0.146709832094958,0.156192421036517,0.159466733369418,0.189537646048955,0.174958037408215,0.173135330041935,0.098360655737705,0,0.0117096018735363,-0.0936768149882904,0.0679156908665103,0.0421545667447306,12,"6","3"
"CH",0.143978723157149,0.189386226057422,0.172059432694951,0.154759093437188,0.170002464748292,0.169814059904998,0.060889929742389,-0.0398126463700235,-0.0632318501170961,-0.128805620608899,0.194379391100702,-0.0819672131147541,13,"8","1"
