"performer","beat_1","beat_2","beat_3","beat_4","beat_5","beat_6","intensity_1","intensity_2","intensity_3","intensity_4","intensity_5","intensity_6"
"CH",0.155361303142517,0.153172681219405,0.166301786936934,0.172866339795698,0.161925856001281,0.190372032904165,0.0485549132947976,-0.076300578034682,0.0289017341040462,-0.0959537572254335,0.0947976878612717,-0.0497109826589597
"CH",0.163506954021845,0.175355520990028,0.189573516991927,0.154028526987178,0.146919528986228,0.170615952022794,0.0971098265895954,0.0358381502890173,-0.0473988439306358,-0.0184971098265895,-0.00346820809248568,0.00578034682080925
"CH",0.16464911267576,0.166146933136336,0.160729501034019,0.16464911267576,0.162227321494595,0.181598018983531,0.0739884393063584,-0.0219653179190752,-0.0427745664739883,-0.0901734104046243,0.0450867052023121,-0.0531791907514451
"CH",0.182519631115492,0.164524249112724,0.164524249112724,0.172236335340018,0.159013963503323,0.157181571815718,0.154913294797688,0.015028901734104,-0.0265895953757225,-0.0416184971098265,-0.0127167630057804,-0.0323699421965318
"CH",0.147582442748092,0.16793893129771,0.179898473282443,0.161068702290076,0.175572519083969,0.16793893129771,0.0982658959537572,0.0115606936416185,-0.0358381502890173,-0.0936416184971099,0.109826589595376,-0.12485549132948
"CH",0.179419694237628,0.163588568027141,0.163588568027141,0.156711526801305,0.175445290002485,0.161246352904299,0.0832369942196532,0.046242774566474,0.00346820809248552,-0.0173410404624277,0.0254335260115607,-0.0335260115606937
"CH",0.148148148148148,0.175308888888889,0.162962962962963,0.162962962962963,0.185185185185185,0.165431851851852,0.0682080924855492,0.0242774566473988,0.00462427745664746,-0.0786127167630057,-0.0069364161849712,-0.0601156069364161
"CH",0.161661835748792,0.161661835748792,0.151558207824193,0.19449995263806,0.149032490290802,0.181585677749361,0.126011560693642,-0.038150289017341,-0.0115606936416185,-0.06242774566474,0.0751445086705202,-0.0728323699421965
"CH",0.159263978191946,0.151766014385973,0.151766014385973,0.171038130127072,0.173446873583969,0.192718989325068,0.0647398843930637,-0.0416184971098267,0.0358381502890174,-0.101734104046243,0.131791907514451,-0.0728323699421965
"CH",0.153906832738408,0.145235603932813,0.179919218535906,0.150600658503546,0.20923712825862,0.161100558030706,0.0554913294797688,0.0219653179190752,0.0046242774566473,-0.0508670520231213,-0.0300578034682082,0.061271676300578
"CH",0.179737899342241,0.145029079085955,0.150329533898705,0.166214906838619,0.16030895574789,0.19837962508659,-0.0208092485549133,-0.0601156069364162,0.0323699421965319,-0.0890173410404625,0.139884393063584,-0.0820809248554913
"CH",0.146709832094958,0.156192421036517,0.159466733369418,0.189537646048955,0.174958037408215,0.173135330041935,0.0485549132947977,0,0.00578034682080925,-0.046242774566474,0.0335260115606935,0.0208092485549133
"CH",0.143978723157149,0.189386226057422,0.172059432694951,0.154759093437188,0.170002464748292,0.169814059904998,0.0300578034682082,-0.0196531791907515,-0.03121387283237,-0.0635838150289017,0.0959537572254335,-0.0404624277456647
"CH",0.173724741722999,0.147782325773168,0.169949646929992,0.217285744528274,0.141027943016684,0.150229598028882,-0.023121387283237,-0.0138728323699421,-0.0508670520231215,-0.0554913294797688,0.0739884393063583,0.0173410404624277
"CH",0.14823636981224,0.164391853255486,0.163783717192519,0.18514681073937,0.156528810624009,0.181912438376376,-0.0161849710982658,-0.00115606936416195,0.0289017341040462,-0.076300578034682,0.092485549132948,-0.0820809248554913
"CH",0.154544648234485,0.173096758226745,0.140387908404634,0.205328519049942,0.145439186531069,0.181202979553124,0.186127167630058,-0.0138728323699422,-0.045086705202312,-0.0439306358381504,-0.0127167630057803,0.099421965317919
"CH",0.165071928298496,0.160286995489948,0.14593291476834,0.157894887937692,0.174641076211556,0.196172197293969,-0.0208092485549133,-0.0716763005780347,-0.0265895953757225,0.00115606936416195,0.0335260115606935,-0.0820809248554913
"CH",0.174129104477612,0.166666417910448,0.161691791044776,0.165920149253731,0.154975373134328,0.176617164179104,0.189595375722543,-0.0265895953757225,-0.0416184971098265,-0.0578034682080925,0.0369942196531792,0.0774566473988438
"CH",0.176470717993175,0.164215561923207,0.156862615340158,0.164215561923207,0.174019980897045,0.164215561923207,-0.0601156069364161,-0.00462427745664746,0.00462427745664746,-0.077456647398844,0.108670520231214,-0.114450867052023
