"performer","beat_1","beat_2","beat_3","beat_4","beat_5","beat_6","beat_7","beat_8","intensity_1","intensity_2","intensity_3","intensity_4","intensity_5","intensity_6","intensity_7","intensity_8","bar"
"CH",0.126407190790598,0.120012974280826,0.119164824503858,0.125525874777735,0.126400615986126,0.11616978190643,0.115348077454119,0.150970660300308,0,-0.0609613130128957,0.00703399765533405,0.0281359906213365,-0.0023446658851114,0.00586166471277843,-0.00937866354044545,-0.00117233294255562,"1"
"CH",0.114558543594719,0.131563259315295,0.130011964033894,0.128400971923578,0.112171821616666,0.126014249945525,0.124462954664123,0.1328162349062,0.0222743259085579,-0.0304806565064478,-0.0574443141852287,-0.0621336459554513,0.075029308323564,-0.125439624853458,0.109026963657679,-0.1031652989449,"2"
"CH",0.112065282545265,0.115500240535818,0.126663854005114,0.136539284262449,0.126234410290791,0.116788275816771,0.13568054476481,0.130528107778982,0.0691676436107854,-0.0574443141852285,0.0633059788980069,-0.0339976553341148,-0.041031652989449,0.0867526377491206,0.101992966002345,-0.0257913247362251,"3"
"CH",0.11275316704879,0.132537829940274,0.121389668214486,0.132272905706875,0.118050786422611,0.117887390039137,0.119022079134614,0.146086173493213,-0.00351699882766702,0.0222743259085581,-0.0668229777256741,-0.00351699882766702,-0.143024618991794,0.0961313012895663,-0.0234466588511137,-0.0527549824150059,"4"
"CH",0.12840340295871,0.129482376255479,0.12206951983412,0.132406192692853,0.122948617990437,0.110214177741429,0.117567115678362,0.136908596848611,0.0351699882766706,-0.0175849941383353,-0.0117233294255569,0.0281359906213364,0.0715123094958968,0.0281359906213364,-0.0515826494724501,0,"5"
"CH",0.120745476833823,0.125856407357744,0.129290254190655,0.117990446096338,0.128172247309755,0.121583945309668,0.107209508238386,0.149151714663631,0.0398593200468932,-0.0164126611957795,0.0140679953106683,-0.00351699882766719,-0.0246189917936693,-0.0234466588511137,0.0703399765533411,-0.0164126611957797,"6"
"CH",0.122813675672496,0.117867995323034,0.136478739426024,0.124071678015843,0.127793705246266,0.115662349556857,0.125036648038545,0.130275208720934,0.00586166471277843,-0.0211019929660023,0.0515826494724502,-0.0175849941383353,-0.0293083235638921,0.0339976553341148,0.0457209847596718,0.00468933177022281,"7"
"CH",0.137374870540625,0.111777400555047,0.121595868281767,0.122787945981342,0.130053296665103,0.126251732696546,0.138176160548902,0.111982724730669,0.00468933177022264,-0.0117233294255569,-0.044548651817116,-0.0187573270808909,0.0293083235638921,-0.0433763188745604,0.0715123094958968,-0.0679953106682298,"8"
"CH",0.120286574619362,0.127693265204806,0.148254444007723,0.105882017634851,0.124639279599819,0.118915873553489,0.128871617407373,0.125456927972575,0.0363423212192262,0.0140679953106683,-0.0105509964830011,-0.0808909730363424,-0.0117233294255569,0.1031652989449,-0.0386869871043376,-0.0023446658851114,"9"
"CH",0.159188696633207,0.150590005000393,0.127518937437237,0.105253718267137,0.128193535856121,0.105253718267137,0.122795921993876,0.101205466544894,-0.0140679953106683,-0.00586166471277843,0.0984759671746777,-0.0539273153575615,0.0433763188745602,-0.0269636576787807,-0.0105509964830011,0.0199296600234465,"10"
"CH",0.0892468339808278,0.0881571642540754,0.116816439187599,0.0941504678912055,0.132521619491897,0.122730210150075,0.142925742792532,0.213451522251789,-0.0375146541617818,-0.015240328253224,-0.00351699882766702,0.0234466588511137,-0.0492379835873388,-0.0375146541617818,0.00117233294255562,-0.121922626025791,"11"
"CH",0.162295014582028,0.134259042111096,0.119287625410645,0.128217806499326,0.107425688282135,0.11485153006828,0.117767594587039,0.115895698459451,0.101992966002345,-0.0187573270808909,0.0422039859320046,0.0152403282532239,0.0597889800703401,0.00703399765533405,-0.0152403282532239,0.0281359906213365,"12"
