"performer","beat_1","beat_2","beat_3","intensity_1","intensity_2","intensity_3","bar"
"CH",0.374662839986609,0.312668580006696,0.312668580006696,0,-0.0191011235955056,0.00561797752808989,"1"
"CH",0.340000009843745,0.362857186450872,0.297142803705383,0.00786516853932587,-0.0707865168539326,0.0325842696629214,"2"
"CH",0.293835521570189,0.368988512811449,0.337175965618362,0.0134831460674156,-0.00112359550561791,-0.0067415730337078,"3"
"CH",0.318559535637015,0.324099709773134,0.357340754589851,-0.0123595505617978,0.0303370786516854,-0.048314606741573,"4"
"CH",0.262193105460466,0.376714458742669,0.361092435796865,0.0303370786516854,0.0213483146067415,0.0573033707865169,"5"
"CH",0.348667555434983,0.314626267442535,0.336706177122482,-0.0584269662921349,-0.0123595505617978,0.00337078651685406,"6"
"CH",0.336134620033671,0.394957780446742,0.268907599519586,-0.0303370786516854,0.0123595505617977,0.0314606741573033,"7"
"CH",0.285302663762808,0.344391760837717,0.370305575399475,0.0146067415730338,-0.0258426966292136,-0.0033707865168539,"8"
"CH",0.354929608903848,0.312676026265885,0.332394364830267,0.0786516853932584,-0.052808988764045,-0.0280898876404494,"9"
"CH",0.316860440368829,0.334302327037128,0.348837232594044,-0.0123595505617977,-0.0426966292134831,0.0292134831460674,"10"
"CH",0.335211270339465,0.32957745932107,0.335211270339465,0.0752808988764045,-0.0224719101123595,-0.0112359550561798,"11"
"CH",0.300561895618646,0.328651837629006,0.370786266752348,-0.0303370786516854,-0.0157303370786516,-0.00898876404494395,"12"
"CH",0.374301735118158,0.293296031589073,0.332402233292769,0.0438202247191012,-0.0674157303370786,0.0101123595505619,"13"
"CH",0.294444529513886,0.353841236178077,0.351714234308038,0.00449438202247181,-0.0247191011235955,-0.0292134831460674,"14"
"CH",0.34550563564774,0.311797721546306,0.342696642805954,0.0213483146067416,0.0213483146067415,0.00786516853932587,"15"
"CH",0.328767271987582,0.309589153590605,0.361643574421813,-0.00449438202247197,-0.0168539325842697,0.0235955056179776,"16"
"CH",0.347578368552066,0.284900213589641,0.367521417858293,-0.0539325842696629,0.0977528089887639,-0.046067415730337,"17"
"CH",0.335483874552874,0.338709686382184,0.325806439064942,-0.0426966292134831,0.0471910112359551,-0.0146067415730338,"18"
"CH",0.29775227894088,0.366863102412672,0.335384618646449,0.0617977528089888,-0.041573033707865,0.0101123595505617,"19"
"CH",0.332142854945592,0.328571419782367,0.339285725272041,-0.114606741573034,0.049438202247191,0.00449438202247197,"20"
"CH",0.305753859154603,0.332633370183654,0.361612770661743,-0.0404494382022473,-0.0651685393258427,-0.0258426966292135,"21"
"CH",0.385228595117106,0.288993317443157,0.325778087439737,-0.0202247191011236,0.138202247191011,0,"22"
"CH",0.324242410005601,0.31818179445378,0.357575795540619,0.00449438202247181,0.0224719101123595,-0.0359550561797752,"23"
"CH",0.319875754798693,0.360248490402615,0.319875754798693,0.048314606741573,0.0685393258426966,-0.0134831460674158,"24"
"CH",0.339563872959243,0.323987523894468,0.336448603146288,-0.0303370786516853,-0.0247191011235955,0.0404494382022471,"25"
"CH",0.354666562541631,0.293333547708407,0.351999889749962,-0.0674157303370786,0.108988764044944,-0.052808988764045,"26"
"CH",0.374213902914809,0.355345947723359,0.270440149361832,-0.0719101123595505,0.0516853932584269,-0.0314606741573033,"27"
"CH",0.355685343509227,0.302671724479449,0.341642932011324,-0.0168539325842697,0.11123595505618,-0.0213483146067415,"28"
"CH",0.33813570480712,0.346660146680118,0.315204148512763,-0.0977528089887641,0.0539325842696629,0.00112359550561807,"29"
"CH",0.310592366380817,0.328359244863964,0.361048388755218,-0.0426966292134833,0.0910112359550563,-0.0112359550561798,"30"
"CH",0.340178543016785,0.308831530740584,0.350989926242631,-0.0314606741573033,0.0606741573033707,0.0258426966292135,"31"
"CH",0.316289164469894,0.34102988823765,0.342680947292456,0.0112359550561798,-0.0112359550561798,-0.0280898876404494,"32"
"CH",0.266498994511064,0.278238463170454,0.455262542318482,0.0370786516853934,0.0101123595505617,0.0168539325842697,"33"
"CH",0.324858744690304,0.341807921976363,0.333333333333333,-0.0146067415730337,0.0247191011235955,-0.0325842696629214,"34"
"CH",0.295811600960719,0.295811600960719,0.408376798078562,-0.048314606741573,0.0685393258426966,-0.0651685393258427,"35"
"CH",0.357594976387079,0.316455668600293,0.325949355012628,-0.0370786516853932,0.0438202247191012,0.00561797752808989,"36"
"CH",0.3498058220345,0.294848230242141,0.355345947723359,0.0168539325842697,-0.00112359550561807,0.0292134831460675,"37"
