"performer","beat_1","beat_2","beat_3","intensity_1","intensity_2","intensity_3","bar"
"CH36",0.374662839986609,0.312668580006696,0.312668580006696,0,-0.0480225988700566,0.0141242937853107,"1"
"CH36",0.340000009843745,0.362857186450872,0.297142803705383,0.0197740112994351,-0.177966101694915,0.0819209039548024,"2"
"CH36",0.293835521570189,0.368988512811449,0.337175965618362,0.0338983050847454,-0.00282485875706199,-0.0169491525423727,"3"
"CH36",0.318559535637015,0.324099709773134,0.357340754589851,-0.0310734463276839,0.0762711864406781,-0.121468926553672,"4"
"CH36",0.262193105460466,0.376714458742669,0.361092435796865,0.0762711864406781,0.0536723163841806,0.14406779661017,"5"
"CH36",0.348667555434983,0.314626267442535,0.336706177122482,-0.146892655367232,-0.0310734463276839,0.00847457627118676,"6"
"CH36",0.336134620033671,0.394957780446742,0.268907599519586,-0.0762711864406781,0.0310734463276835,0.07909604519774,"7"
"CH36",0.285302663762808,0.344391760837717,0.370305575399475,0.0367231638418082,-0.0649717514124297,-0.00847457627118636,"8"
"CH36",0.354929608903848,0.312676026265885,0.332394364830267,0.19774011299435,-0.132768361581921,-0.0706214689265537,"9"
"CH36",0.316860440368829,0.334302327037128,0.348837232594044,-0.0310734463276835,-0.107344632768362,0.0734463276836157,"10"
"CH36",0.335211270339465,0.32957745932107,0.335211270339465,0.189265536723164,-0.0564971751412429,-0.0282485875706215,"11"
"CH36",0.300561895618646,0.328651837629006,0.370786266752348,-0.0762711864406781,-0.0395480225988698,-0.0225988700564975,"12"
"CH36",0.374301735118158,0.293296031589073,0.332402233292769,0.110169491525424,-0.169491525423729,0.0254237288135595,"13"
"CH36",0.294444529513886,0.353841236178077,0.351714234308038,0.0112994350282483,-0.0621468926553673,-0.0734463276836157,"14"
"CH36",0.34550563564774,0.311797721546306,0.342696642805954,0.053672316384181,0.0536723163841806,0.0197740112994351,"15"
"CH36",0.328767271987582,0.309589153590605,0.361643574421813,-0.0112994350282487,-0.0423728813559322,0.0593220338983053,"16"
"CH36",0.347578368552066,0.284900213589641,0.367521417858293,-0.135593220338983,0.245762711864406,-0.115819209039548,"17"
"CH36",0.335483874552874,0.338709686382184,0.325806439064942,-0.107344632768362,0.11864406779661,-0.0367231638418082,"18"
"CH36",0.29775227894088,0.366863102412672,0.335384618646449,0.155367231638418,-0.104519774011299,0.0254237288135591,"19"
"CH36",0.332142854945592,0.328571419782367,0.339285725272041,-0.288135593220339,0.124293785310734,0.0112994350282487,"20"
"CH36",0.305753859154603,0.332633370183654,0.361612770661743,-0.101694915254238,-0.163841807909604,-0.0649717514124293,"21"
"CH36",0.385228595117106,0.288993317443157,0.325778087439737,-0.0508474576271188,0.347457627118644,0,"22"
"CH36",0.324242410005601,0.31818179445378,0.357575795540619,0.0112994350282483,0.0564971751412429,-0.0903954802259884,"23"
"CH36",0.319875754798693,0.360248490402615,0.319875754798693,0.121468926553672,0.172316384180791,-0.0338983050847458,"24"
"CH36",0.339563872959243,0.323987523894468,0.336448603146288,-0.0762711864406777,-0.0621468926553673,0.101694915254237,"25"
"CH36",0.354666562541631,0.293333547708407,0.351999889749962,-0.169491525423729,0.274011299435028,-0.132768361581921,"26"
"CH36",0.374213902914809,0.355345947723359,0.270440149361832,-0.180790960451977,0.129943502824859,-0.07909604519774,"27"
"CH36",0.355685343509227,0.302671724479449,0.341642932011324,-0.0423728813559322,0.279661016949152,-0.0536723163841806,"28"
"CH36",0.33813570480712,0.346660146680118,0.315204148512763,-0.245762711864407,0.135593220338983,0.00282485875706239,"29"
"CH36",0.310592366380817,0.328359244863964,0.361048388755218,-0.107344632768362,0.228813559322034,-0.0282485875706215,"30"
"CH36",0.340178543016785,0.308831530740584,0.350989926242631,-0.07909604519774,0.152542372881356,0.0649717514124293,"31"
"CH36",0.316289164469894,0.34102988823765,0.342680947292456,0.0282485875706215,-0.0282485875706215,-0.0706214689265537,"32"
"CH36",0.266498994511064,0.278238463170454,0.455262542318482,0.0932203389830512,0.0254237288135591,0.0423728813559322,"33"
"CH36",0.324858744690304,0.341807921976363,0.333333333333333,-0.0367231638418078,0.0621468926553673,-0.0819209039548024,"34"
"CH36",0.295811600960719,0.295811600960719,0.408376798078562,-0.121468926553672,0.172316384180791,-0.163841807909604,"35"
"CH36",0.357594976387079,0.316455668600293,0.325949355012628,-0.0932203389830508,0.110169491525424,0.0141242937853107,"36"
